name,unitType,portionName,kcal,protein,carbs,fat,fatSource,isEstimated,aliases
"Squid, white, small",GRAM,,84.4,17.41,0.0,1.15,FISH,false,
Cat fish,GRAM,,123.8,15.86,0.0,6.24,FISH,false,
Catla,GRAM,,94.2,17.94,0.0,2.15,FISH,false,
Fresh water Eel,GRAM,,107.8,20.41,0.0,2.63,FISH,false,
Gold fish,GRAM,,94.6,16.91,0.0,2.94,FISH,false,
Pangas,GRAM,,203.6,17.12,0.0,16.77,FISH,false,
Rohu,GRAM,,102.3,19.71,0.0,2.39,FISH,false,
Crab,GRAM,,78.2,13.23,0.0,0.89,FISH,false,
"Prawns, big",GRAM,,90.8,19.24,0.0,0.52,FISH,false,
"Prawns, small",GRAM,,71.0,13.07,0.0,0.78,FISH,false,
Tiger prawns,GRAM,,67.9,14.24,0.0,0.66,FISH,false,
Coconut oil,GRAM,,0.0,0.0,0.0,100.0,COCONUT_PALM,false,
Corn oil,GRAM,,0.0,0.0,0.0,100.01,SEED_OIL,false,
Cotton seed oil,GRAM,,0.0,0.0,0.0,99.99,SEED_OIL,false,
Gingelly oil,GRAM,,0.0,0.0,0.0,100.0,SEED_OIL,false,
Groundnut oil,GRAM,,0.0,0.0,0.0,100.0,SEED_OIL,false,
Mustard oil,GRAM,,0.0,0.0,0.0,100.0,SEED_OIL,false,
Palm oil,GRAM,,0.0,0.0,0.0,100.0,COCONUT_PALM,false,
Rice bran oil,GRAM,,0.0,0.0,0.0,100.0,SEED_OIL,false,
Safflower oil,GRAM,,0.0,0.0,0.0,100.01,SEED_OIL,false,
Safflower oil (blended),GRAM,,0.0,0.0,0.0,100.0,SEED_OIL,false,
Soyabean oil,GRAM,,0.0,0.0,0.0,100.0,SEED_OIL,false,
Sunflower oil,GRAM,,0.0,0.0,0.0,100.0,SEED_OIL,false,
Ghee,GRAM,,0.0,0.0,0.0,100.0,DAIRY,false,
Vanaspati,GRAM,,0.0,0.0,0.0,100.0,SEED_OIL,false,
egg,PORTION,egg,72,6.3,0.4,4.8,EGG,true,anda
roti,PORTION,roti,110,3.4,20.6,1.9,GRAIN_LEGUME,true,"chapati,phulka"
idli,PORTION,idli,58,1.6,12.0,0.4,GRAIN_LEGUME,true,
"dosa, plain",PORTION,dosa,133,2.7,25.0,2.5,GRAIN_LEGUME,true,
"bread, slice",PORTION,slice,67,2.4,12.6,0.8,GRAIN_LEGUME,true,
whey protein,PORTION,scoop,120,24.0,3.0,1.5,DAIRY,true,
